20:49:23.808 [main] INFO  resources.BaseTest - Entering Email Id
20:49:24.155 [main] INFO  resources.BaseTest - Entering password
20:49:24.420 [main] INFO  resources.BaseTest - Clicking on Login Button
20:49:26.930 [main] INFO  resources.BaseTest - Search for item: Samsung Galaxy S10
20:49:32.439 [main] INFO  resources.BaseTest - Selecting Mobile Filter
20:49:36.023 [main] INFO  resources.BaseTest - Selecting Samsung Filter
20:49:38.633 [main] INFO  resources.BaseTest - Selecting Flikart Assured Filter
20:49:41.369 [main] INFO  resources.BaseTest - Selecting High to Low Price Filter
20:49:45.929 [main] INFO  resources.BaseTest - Getting the item details
20:50:05.293 [main] INFO  resources.BaseTest - [SAMSUNG Galaxy S21 Ultra (Phantom Black, 256 GB), ?1,05,999, https://www.flipkart.com/samsung-galaxy-s21-ultra-phantom-black-256-gb/p/itmbec2f700e2ff3?pid=MOBFZ3TMSMXZATX3&lid=LSTMOBFZ3TMSMXZATX354XEIV&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBFZ3TMSMXZATX3.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy S8 Plus (Maple Gold, 64 GB), ?53,990, https://www.flipkart.com/samsung-galaxy-s8-plus-maple-gold-64-gb/p/itmethry6ccarwmq?pid=MOBESYV7EGGFN3RH&lid=LSTMOBESYV7EGGFN3RHS63QQ2&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBESYV7EGGFN3RH.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy S8 Plus (Midnight Black, 64 GB), ?53,990, https://www.flipkart.com/samsung-galaxy-s8-plus-midnight-black-64-gb/p/itmethrymujayh4y?pid=MOBESYUWPQW5ZQWV&lid=LSTMOBESYUWPQW5ZQWVSE6W9I&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBESYUWPQW5ZQWV.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy S8 Plus (Coral Blue, 64 GB), ?53,990, https://www.flipkart.com/samsung-galaxy-s8-plus-coral-blue-64-gb/p/itmethrykawm5u68?pid=MOBESYV77M4Q7AUH&lid=LSTMOBESYV77M4Q7AUHAPV3RR&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBESYV77M4Q7AUH.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy S8 Plus (Orchid Grey, 64 GB), ?53,990, https://www.flipkart.com/samsung-galaxy-s8-plus-orchid-grey-64-gb/p/itmeveqzfgabaqeg?pid=MOBEVEQZCWYYYGNT&lid=LSTMOBEVEQZCWYYYGNT5ZWPMO&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBEVEQZCWYYYGNT.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy S20 FE (Cloud Lavender, 128 GB), ?49,999, https://www.flipkart.com/samsung-galaxy-s20-fe-cloud-lavender-128-gb/p/itm963c7deda5fe1?pid=MOBFWAVTM5YD3JNE&lid=LSTMOBFWAVTM5YD3JNERH5YQZ&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBFWAVTM5YD3JNE.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy S20 FE (Cloud Mint, 128 GB), ?49,999, https://www.flipkart.com/samsung-galaxy-s20-fe-cloud-mint-128-gb/p/itm7fa1752323997?pid=MOBFWAVTKRH6GFQG&lid=LSTMOBFWAVTKRH6GFQGIXJDO8&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBFWAVTKRH6GFQG.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy S20 FE (Cloud Navy, 128 GB), ?49,999, https://www.flipkart.com/samsung-galaxy-s20-fe-cloud-navy-128-gb/p/itm90f8fb032ae3c?pid=MOBFWAVTQNMETGGG&lid=LSTMOBFWAVTQNMETGGGIJYV5O&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBFWAVTQNMETGGG.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy S20 FE (Cloud White, 128 GB), ?49,999, https://www.flipkart.com/samsung-galaxy-s20-fe-cloud-white-128-gb/p/itm43c3c96db2180?pid=MOBFWAVTMGYNUDHW&lid=LSTMOBFWAVTMGYNUDHW6E1W6T&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBFWAVTMGYNUDHW.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy S10 Lite (Prism Black, 512 GB), ?45,999, https://www.flipkart.com/samsung-galaxy-s10-lite-prism-black-512-gb/p/itm17d286bbca7ba?pid=MOBFPDVHFE8VVD9R&lid=LSTMOBFPDVHFE8VVD9RCNLMY9&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBFPDVHFE8VVD9R.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy A70s (Prism Crush White, 128 GB), ?25,999, https://www.flipkart.com/samsung-galaxy-a70s-prism-crush-white-128-gb/p/itm57a85273f03b6?pid=MOBFKKGRJCHHRJS5&lid=LSTMOBFKKGRJCHHRJS5Z6YUTR&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBFKKGRJCHHRJS5.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG Galaxy A70s (Prism Crush Red, 128 GB), ?25,999, https://www.flipkart.com/samsung-galaxy-a70s-prism-crush-red-128-gb/p/itmff05153bfcfa0?pid=MOBFKKGRHVDRVUY6&lid=LSTMOBFKKGRHVDRVUY6RCARTS&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_22&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBFKKGRHVDRVUY6.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG M31s (Mirage Blue, 128 GB), ?21,990, https://www.flipkart.com/samsung-m31s-mirage-blue-128-gb/p/itm3c444f9c5c566?pid=MOBFUZYBUZWNKB6G&lid=LSTMOBFUZYBUZWNKB6GMMORRN&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_23&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBFUZYBUZWNKB6G.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
, SAMSUNG GALAXY M31S (Mirage Black, 128 GB), ?21,990, https://www.flipkart.com/samsung-galaxy-m31s-mirage-black-128-gb/p/itm34ee37ee1d8a0?pid=MOBFVWCTZYMFQH3J&lid=LSTMOBFVWCTZYMFQH3JXWCJ7T&marketplace=FLIPKART&q=Samsung+Galaxy+S10&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=SEARCH&iid=1b098c6f-fe32-4303-85a2-da95c3ecd9f2.MOBFVWCTZYMFQH3J.SEARCH&ppt=browse&ppn=browse&ssid=86mkao3rgnihws8w1617290372746&qH=8e78838d0b7698a3, 
]
